UI_20150317_000001	{@st41b}Выучить атрибуты{nl}у Мастера своего класса.{/}				
UI_20150317_000002	{@st43}Список атрибутов{/}			
UI_20150317_000003	{@st59}Закрыть список атрибутов{/}			
UI_20150317_000004	{@st43}Выучить атрибуты{/}
UI_20150317_000005	{@st59}Закрыть окно атрибутов{/}
UI_20150317_000006	{@st41b}Серебра{/}			
UI_20150317_000007	Мои достижения		
UI_20150317_000008	Рейтинг серверов		
UI_20150317_000009	{@st59}Доступно внезапное событие.{/}				
UI_20150317_000010	{@st59}Есть новое сообщение Справки{/}			
UI_20150317_000011	{@st41}Вы уверены, что хотите создать этот тип стрел?{/}			
UI_20150317_000012	{@st41b}Только{/}				
UI_20150317_000013	{@st41b}Все{/}				
UI_20150317_000014	{@St41b}Пауза{/}			
UI_20150317_000015	{@St43}Журнал приключений{/}				
UI_20150317_000016	{@St43}Аукцион{/}				
UI_20150317_000017	{@St59}Закрыть Почтовый ящик{/}			
UI_20150317_000018	{@St41b}Товар продан : ×%s, Товар не продан : ×%s{/}				
UI_20150317_000019	{@St43}{s22}Предмет Аукциона{/}			
UI_20150317_000020	{@st59}Закрыть Журнал Заданий{/}				
UI_20150317_000021	Полезный			
UI_20150317_000022	{@St41b}Оставшееся время				
UI_20150317_000023	3 часа 16 минут				
UI_20150317_000024	{@St41b}Начальная цена			
UI_20150317_000025	{@St41b}Ставки			
UI_20150317_000026	{@St41b}Текущая цена			
UI_20150317_000027	{@St41b}Текущая Ставка			
UI_20150317_000028	{@St41b}Минимальная цена ставки {@st57}%s{@st41b}серебра{/}				
UI_20150317_000029	{@St41b}Предложить цену{/}			
UI_20150317_000030	{@St43b}Купить сейчас!{nl}{img icon_item_silver 20 20}{@st57}%s{/}				
UI_20150317_000031	{@St44}Настройки разрешений{/}			
UI_20150317_000032	{@St45}Имя: %s{/}				
UI_20150317_000033	{@St55}Групповой склад{/}				
UI_20150317_000034	{@St49}Ничего		
UI_20150317_000035	{@St49}Магазин			
UI_20150317_000036	{@St49}Получить			
UI_20150317_000037	{@St45}Обзор{/}				
UI_20150317_000038	{@St49}Создать			
UI_20150317_000039	{@St49}Удалить			
UI_20150317_000040	{@St44}Сохранить{/}				
UI_20150317_000041	{@St44}Отмена{/}			
UI_20150317_000042	{@St43}{s22}Парикмахерская{/}			
UI_20150317_000043	{@st59}Предыдущая прическа{/}			
UI_20150317_000044	{@St59}Следующая прическа{/}		
UI_20150317_000045	{@st41b} Изменить {s18} (Требуется 100 ТР) {/}				
UI_20150317_000046	{@St59}Изменить на выбранную прическу.{/}				
UI_20150317_000047	{@St41}Отмена			
UI_20150317_000048	{@st43}Черный рынок{/}			
UI_20150317_000049	Название книги			
UI_20150317_000050	{@St59}Прекратить чтение{/}			
UI_20150317_000051	{@st59}Предыдущая страница{/}				
UI_20150317_000052	{@st59}Следующая страница{/}			
UI_20150317_000053	{@st47}%s появился!				
UI_20150317_000054	{@st43}Очки{/}			
UI_20150317_000055	Наносимый урон			
UI_20150317_000056	Технический бонус			
UI_20150317_000057	Бонус уклонения				
UI_20150317_000058	Сбросить таймер			
UI_20150317_000059	Итоговый счет				
UI_20150317_000060	{@st42}Затраченное время				
UI_20150317_000061	10 минут		
UI_20150317_000062	10 секунд			
UI_20150317_000063	{@st44}Завершить			
UI_20150317_000064	{@st59}Закрыть торговый автомат{/}				
UI_20150317_000065	{@st43}Торговый автомат заклинаний			
UI_20150317_000066	Название торгового автомата				
UI_20150317_000067	{@st43}Регистрация			
UI_20150317_000068	{@st43}Отмена				
UI_20150317_000069	Торговый автомат заклинаний			
UI_20150317_000070	{@st59}Закрыть торговый автомат заклинаний.			
UI_20150317_000071	{@st59}Торговый автомат заклинаний{nl} - Вы можете произвести оплату серебром для получения заклинаний от другого игрока.				
UI_20150317_000072	Меню перевозки				
UI_20150317_000073	{ol}{s22}Выгрузить{/}			
UI_20150317_000074	Литье				
UI_20150317_000075	{@st43}Настройки игры{/}				
UI_20150317_000076	{@st64}Используйте клавиши со стрелками, чтобы выбрать ячейку!				
UI_20150317_000077	{@st43}Информация о прогрессе {/}		
UI_20150317_000078	{@st43}Выбрать класс			
UI_20150317_000079	Psychokinesist			
UI_20150317_000080	{@st42}%s Ранг {/}				
UI_20150317_000081	Количество Рангов			
UI_20150317_000082	Показать краткое описание класса.				
UI_20150317_000083	{@st41b}Атака {@sti7}%s{/}				
UI_20150317_000084	{@st41b}Поддержка {@sti7}%s{/}				
UI_20150317_000085	{@st41b}Сложность{@sti7}%s{/}				
UI_20150317_000086	{@st59}Закрыть информацию о персонаже{/}				
UI_20150317_000087	Предупреждение об опасности			
UI_20150317_000088	{@st43} Новый Ранг		
UI_20150317_000089	{@sti7}{s14} Уровень {/}				
UI_20150317_000090	{@sti8}{s14} Класс {/}				
UI_20150317_000091	{@st44}Чат{/}			
UI_20150317_000092	To. WWWWWWWW and 1 other		
UI_20150317_000093	Общий: /s <текст> {nl} Мир: /y <текст> {nl} Группа: /p <текст>{nl} Приват: /w имя персонажа <текст>				
UI_20150317_000094	{@st41}Весь чат{/}			
UI_20150317_000095	{@59}Выход{/}			
UI_20150317_000096	{@59}Пригласить{/}			
UI_20150317_000097	{@st59}Все{/}				
UI_20150317_000098	{@st59}Общий чат (/s чат){/}				
UI_20150317_000099	{@st59}Мир (/y чат){/}				
UI_20150317_000100	{@st59}Группа (/p чат){/}				
UI_20150317_000101	{@st59}Шепот (/w название команды в чате) 
UI_20150317_000102	{@st59}Изменение окна чата{/}				
