QUEST_LV_0500_20190419_000001	I would rather have someone else do it if it's something that absolutely needs doing.{nl}Why does it always have to be me?	누군가는 해야 할 일이면 다른 사람이 했으면 좋겠어요.{nl}왜 저한태 이런 걸 시키는 걸까요.
QUEST_LV_0500_20190419_000002	The demons and monsters are still at large...{nl}At least we don't have to worry about being robbed by highwaymen.{nl}That is if we can make it out alive.	몬스터와 마족들이 득실거리니..{nl}적어도 강도를 만날 걱정은 안 해도 되겠어.{nl}살아서 돌아갈 수 있다면 말이지.
QUEST_LV_0500_20190419_000003	You go out scouting for days then you have to write up a report for days more!{nl}Can we get anything done in this state?	정찰하는 데 며칠, 보고하는 데 또 며칠!{nl}이러면 일은 언제 끝낼 생각인 거지?
QUEST_LV_0500_20190419_000004	I'm here to assist Tadas.{nl}I'm not here to clean up after Wolke's mess.	전 타다스님을 도우러 온 것이지.{nl}볼케님이 사고 치는 걸 처리하러 온 게 아닙니다.
QUEST_LV_0500_20190419_000005	I've tricked Kartas and prevented him from stealing the Seed of the Divine Tree.{nl}If I could break away from these seals, I would be able to recover on my own.	카르타스의 눈을 속여 신수의 씨앗을 빼앗기지 않았어요.{nl}이 속박을 풀어낸다면 씨앗의 능력으로 힘을 다시 회복할 수 있을 거예요.
QUEST_LV_0500_20190419_000006	Why would Kartas go so far as to imprison me under this barrier...{nl}Does he really know the properties of this seed...?	카르타스가 이 숲에 거대한 결계를 펼치면서까지 저를 쫓는 이유가 무엇일까요..{nl}정말 이 씨앗의 존재를 알고 있는 걸까요?
QUEST_LV_0500_20190419_000007	I'm going to find Miss Neringa as soon as I feel a little better.{nl}I'm sure she will know a way for us to rescue Master Medeina from Kartas.	저는 몸을 추스리는대로 네링가님을 찾아가 보려 해요.{nl}네링가님이라면 분명 카르타스로부터 메데이나님을 구할 방법을 알고 계실 거에요.
QUEST_LV_0500_20190419_000008	Revelator! There's an evil barrier surrounding the forest, it's dangerous in here!{nl}Please, you have to go!	아! 계시자님! 이 숲에는 사악한 결계가 펼쳐져 있어서 들어오시면 위험해요!{nl}어서 벗어나세요!
QUEST_LV_0500_20190419_000009	We're trapped inside Kartas' barrier, and Master Medeina's powers aren't enough to break it.{nl}We need to help her regain her strength...	카르타스가 숲 일대에 펼친 결계 때문에 지금 메데이나님의 힘으로는 이곳을 벗어날 수 없어요.{nl}메데이나님이 어서 기운을 차리시고 회복하셔야 할 텐데..
QUEST_LV_0500_20190419_000010	If Kartas finds us, we'll be in great danger.{nl}Please, help Master Medeina recover.	카르타스가 이곳을 발견하면 큰일이에요.{nl}메데이나님이 회복할 수 있도록 계시자님께서 도와주세요.
QUEST_LV_0500_20190419_000011	I'm glad Ilona is safe at least, despite the barrier.{nl}Revelator, please look for a way to deactivate the barrier.	속박의 결계에 걸리긴 했지만.. 그래도 일로나가 무사해서 다행이에요.{nl}계시자님. 결계를 해제할만한 방법이 있을지 찾아봐 주세요.
QUEST_LV_0500_20190419_000012	Take Ilona and find Master Medeina.	어서 일로나와 함께 메데이나님을 찾으러 가 봐요.
QUEST_LV_0500_20190419_000013	Her footprints stop here. Should we look inside the courtyard?	메데이나님의 흔적이 이 앞에서 끊겼으니 이 안뜰 안쪽을 확인해보는 게 어떨까요?
QUEST_LV_0500_20190419_000014	Oh, I'm so glad Master Medeina is safe!{nl}That Teleportation Magic Circle needs to be destroyed...	메데이나님이 무사하셔서 다행이에요!{nl}그보다 메데이나님에게 펼쳐진 마계 이동 마법진을 파훼해야 할텐데..
QUEST_LV_0500_20190419_000015	Revelator, please destroy the magic circle.{nl}This might be the only chance we get while Kartas is gone.	계시자님! 메데이나님에게 펼쳐진 마계 이동 마법진을 없애주세요.{nl}카르타스가 없는 지금이 기회에요.
QUEST_LV_0500_20190419_000016	Master Medeina's barrier is finally gone.{nl}We should hurry now...	계시자님 덕분에 메데이나님이 결계를 풀어낼 수 있었네요.{nl}어서 이곳을 벗어나야 할 텐데..
QUEST_LV_0500_20190419_000017	Overloading the second magic circle worked!	보조 마법진에 마력을 과부하 되게 주입하는 게 효과가 있었네요.
QUEST_LV_0500_20190419_000018	Oh... Master Medeina...	아.. 저희 때문에 메데이나님이..
QUEST_LV_0500_20190419_000019	She...	메데이나님..
QUEST_LV_0500_20190419_000020	I was too late...	제가 너무 늦었어요..
QUEST_LV_0500_20190419_000021	Although Master Medeina was taken by Kartas...{nl}Your precious help will always be remembered, Revelator.{nl}	비록 메데이나님이 카르타스에게 붙잡혀 가셨지만..{nl}저희는 계시자님께서 메데이나님을 찾는 일에 적극적으로 도와주신 것을 기억하고 있어요.{nl}
QUEST_LV_0500_20200129_000022	Defeat the Nuka Warrior, Nuo Assassin	누카 전사, 누오 암살자 처치
QUEST_LV_0500_20200129_000023	On the request of Receptionist Ramda of the Mercenary Post{nl}defeat the Nuka Warrior and Nuo Assassin in Tvirtumas Fortress.	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}트비르투마스 요새에서 누카 전사, 누오 암살자 처치를 수행해야 합니다.
QUEST_LV_0500_20200129_000024	Defeat the Akhlass Petal Warrior	아클라스 페탈 전사 처치
QUEST_LV_0500_20200129_000025	On the request of Receptionist Ramda of the Mercenary Post{nl}defeat the Akhlass Petal Warrior in Tvirtumas Fortress.	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}트비르투마스 요새에서 아클라스 페탈 전사 처치를 수행해야 합니다.
QUEST_LV_0500_20200129_000026	Defeat the Living Armor	리빙 아머 처치
QUEST_LV_0500_20200129_000027	On the request of Receptionist Ramda of the Mercenary Post{nl}Defeat the Living Armor in Tvirtumas Fortress.	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}트비르투마스 요새에서 리빙 아머 처치를 수행해야 합니다.
QUEST_LV_0500_20200129_000028	Defeat the Ilgaranka	일가란카 처치
QUEST_LV_0500_20200129_000029	On the request of Receptionist Ramda of the Mercenary Post{nl}Defeat the Ilgaranka in Tvirtumas Fortress.	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}트비르투마스 요새에서 일가란카 처치를 수행해야 합니다.
QUEST_LV_0500_20200129_000030	Defeat the Bloguz Goblin Rider, Necko	블로거즈 고블린 라이더, 넥코 처치
QUEST_LV_0500_20200129_000031	On the request of Receptionist Ramda of the Mercenary Post{nl}Defeat the Bloguz Goblin Rider and Necko at the Outskirts of Skalda.	클라페다 의뢰소의 접수원 람다의 의뢰로{nl}스칼다 외곽에서 블로거즈 고블린 라이더, 넥코 처치를 수행해야 합니다.
QUEST_LV_0500_20200129_000032	Grey Wolf	그레이 울프 처치
