QUEST_LV_0400_20161005_000001	Kedora Alliance Merchant Alta	케도라 상단원 알타				
QUEST_LV_0400_20161005_000002	I came here since I was worried, but I won't dare to go in there by myself.{nl}That's why I am asking you.	걱정이 돼서 와 봤지만 혼자서는 저 안으로 들어갈 엄두가 안나는구먼.{nl}그러니 이렇게 자네에게 부탁하는 걸세.				케도라 상단원 알타
QUEST_LV_0400_20161005_000003	I can't just wonder into places like that you know.{nl}There are monsters just sitting there...	안에 뭐가 있을 지 어떻게 알고 들어가겠나.{nl}뻔히 저렇게 몬스터들이 있기도 하고..				케도라 상단원 알타
QUEST_LV_0400_20161005_000004	There's rumors of the Alembique Legend among the refugees.{nl}I wanted to know the truth.	피난민들 사이에서 알렘빅 전설이라는 것이 돌고 있더라고.{nl}그 실체를 확인하고 싶었지.				케도라 상단원 알타
QUEST_LV_0400_20161005_000005	{nl}There might be products that the Alliance is looking for...{nl}Since you were going to explore the cave anyways, it's like hitting two Popolions with one stone.	{nl}상단에서 찾는 물건이 있을지도 모르고..{nl}자네도 이 동굴을 탐험할 거였으면 겸사겸사 기고 용병단을 찾아주면 서로 좋은 일 아닌가.				케도라 상단원 알타
QUEST_LV_0400_20161005_000006	{nl}I'll give you this book as payment.{nl}It'll be better than going in blind will it not?	{nl}대신 이 책을 주겠네.{nl}아무 것도 모르고 들어가는 것 보다는 조금이나마 도움이 될테니 말이야.				케도라 상단원 알타
QUEST_LV_0400_20161005_000007	Priest Lintas is correcting the contents of the monument.{nl}The process is taking some time.	사제 린타스가 기념비의 내용을 수정 중이다.{nl}꽤 작업이 길어지고 있다.				사제 린타스
QUEST_LV_0400_20161005_000008	Thanks to you, the monument has been corrected.{nl}We need to check up on the status of Priest Kidas and Brunas.	덕분에 기념비를 수정했습니다.{nl}사제 키다스와 브루나스의 진행 상황을 알아봐야겠습니다.				사제 린타스
QUEST_LV_0400_20161005_000009	Even with the help, a flechette is nowhere to be found.{nl}I should go back to my master after sorting things out a bit in here.	도움을 받아도 플레세트는 못 찾았어요.{nl}일단 여기 일을 좀 정리해서 스승님께 돌아갈 겁니다.				우그니스
QUEST_LV_0400_20161005_000010	Aquilas	아퀼라스				
QUEST_LV_0400_20161005_000011	I came here to learn archery but am just running errands finding that blasted arrow...{nl}If I knew that I had to look for arrows. I would not have started this journey...{nl}	궁술을 배우려고 여기까지 따라왔건만 알려주는 건 별거 없고 화살을 찾으라니..{nl}화살 찾으러 다닌다는 사실만 알았어도 이런 고생길에 나서진 않았을 거야.. {nl}				아퀼라스
QUEST_LV_0400_20161005_000012	I mean, this is all because of Lydia Schaffen.{nl}She should have taken her Flechette or whatever if she had used it to kill Ziburynas!	리디아 샤펜도 그렇지. {nl}플레세트인지 뭔지로 지부리나스를 죽였으면 화살을 수거해 가야지 그냥 두고가?				아퀼라스
QUEST_LV_0400_20161005_000013	{nl}Who cares if she is a legendary person.{nl}She doesn't know how to look after her things.	{nl}전설적인 사람이라고 추앙 받으면 뭐해.{nl}자기 물건도 소중히 안 다루는걸.				아퀼라스
QUEST_LV_0400_20161005_000014	{nl}I can't understand my master.{nl}I don't know how I can be forgiven if I find that Flechette or whatever.	{nl}스승님도 참 이해 안돼.{nl}플레세트인지 뭔지를 찾으면 용서를 구할 수는 있는 거야?				아퀼라스
QUEST_LV_0400_20161005_000015	{nl}Even if I do somehow agree that it is important... I don't get how reporting on the vegetation is supposed to be important.{nl}Ugh... Not my kind of work.	{nl}백 번 양보해도.. 찾으려는 화살은 안 찾고 식생이나 보고하라는 건 정말 이해가 안돼.{nl}으… 하기 싫어.				아퀼라스
QUEST_LV_0400_20161005_000016	I'd be really grateful if you'd offer any type of help.{nl}First of all, could you get me some Poppy Bracken, Aily Grass and Pria Flowers.	도와준다면야 나야 좋지.{nl}일단 포피 고사리와 아일리 풀, 프리아 꽃잎을 모아줘.				아퀼라스
QUEST_LV_0400_20161005_000017	{nl}What do they have to do with the legendary arrow?{nl}I have no idea either.	{nl}이게 전설의 화살이랑 무슨 상관이냐고?{nl}그건 나도 정말 궁금해.				아퀼라스
QUEST_LV_0400_20161005_000018	Stupid Flechette or whatever it's called...	플레세트인지 뭔지 참 내..				아퀼라스
QUEST_LV_0400_20161005_000019	Mechen	메켄				
QUEST_LV_0400_20161005_000020	I thought that Aquilas had come to report...{nl}This place is dangerous due to all of the monsters and demons.	아퀼라스가 보고하러 온 줄 알았는데…{nl}이곳은 몬스터들 뿐만 아니라 마족들도 돌아다녀서 위험한 곳입니다.				메켄
QUEST_LV_0400_20161005_000021	{nl}How about leaving if you don't have any important business.	{nl}별 일이 없다면 어서 떠나시는 것이..				메켄
QUEST_LV_0400_20161005_000022	{nl}Oh?{nl}Ah, you're a Revelator.	{nl}아..?{nl}오, 계시자님이시군요.				메켄
QUEST_LV_0400_20161005_000023	{nl}It seems as if you are curious as to what my apprentices and I are doing here.{nl}Have you heard anything from Aquilas?	{nl}저와 제자들이 여기서 무엇을 하고 있는지 궁금하신 듯 합니다.{nl}아퀼라스에게서 혹시 들으신 것이 있으신지..				메켄
QUEST_LV_0400_20161005_000024	{nl}Oh, I am a member of the Astral Tower and sibling to the former leader.{nl}I made a big mistake while Ignas was trying to take control of the Astral Tower.	{nl}아, 전 별의 탑 단원이자 별의 탑 전 단장의 친동생입니다.{nl}이그나스가 별의 탑을 장악하는 과정에서 실수를 저지르고 말았지요.				메켄
QUEST_LV_0400_20161005_000025	{nl}Ignas didn't miss out on the opportunity and took over the Astral Tower.{nl}Of course, the rest of the members don't look upon me so kindly.	{nl}그리고 제 실수를 놓치지 않은 이그나스는 별의 탑을 장악하게 되었습니다.{nl}당연히 별의 탑 단원들은 저를 좋지 않게 보게 됐습니다.				메켄
QUEST_LV_0400_20161005_000026	{nl}No matter how I tell them that it was a mistake, they refuse to listen.	{nl}고의가 아니었음을 이야기 해도 단원들은 들어주지 않았고 모두 제게 등을 돌렸습니다.				메켄
QUEST_LV_0400_20161005_000027	{nl}That's why I have decided to try and find Lydia Schaffen's Flechette to try and undo my wrongdoings.	{nl}제 실수를 만회할 수 있는 방법을 찾다가.. {nl}리디아 샤펜의 전승 중 하나인 플레세트를 찾기로 결심했습니다.				메켄
QUEST_LV_0400_20161005_000028	{nl}They'll at least pretend to listen if I bring back the Flechette.{nl}I've come to this place as I am almost certain that her Flechette must be in Ziburynas Forest.	{nl}플레세트를 찾아 가면 단원들도 제 이야기를 들어줄 것이니까요.{nl}여러 가지 조사 끝에.. 지부리나스 숲에 플레세트가 있을 가능성이 높다고 판단했습니다.				메켄
QUEST_LV_0400_20161005_000029	{nl}My apprentices and I have been trying to look for the Flechette but there's been no progress.	{nl}그래서 제자들을 데리고 플레세트를 찾고 있지만 별다른 진척이 없군요.				메켄
QUEST_LV_0400_20161005_000030	I see you've gathered it all.{nl}Thanks.	모아왔구나.{nl}고마워.				아퀼라스
QUEST_LV_0400_20161005_000031	{nl}Go to the camp and ask my master if you're wondering why we had to do this.	{nl}이런 일을 시키신 스승님은 캠프에 계시니깐 이런 걸 찾는 이유가 궁금하면 가 봐.				아퀼라스
QUEST_LV_0400_20161005_000032	{nl}Well, I'd better start looking at these unremarkable things to find something different.	{nl}그럼 나는 별 특이할 것이 없어 보이는 것들을 들여다 보면서 특이한 점을 찾아봐야겠다.				아퀼라스
QUEST_LV_0400_20161005_000033	Hmm... I thank you for your eagerness, but this place is much too dangerous with all of the demons roaming around. {nl}I would appreciate it if you would simply ask my apprentices how they are doing.	음.. 매우 감사 드립니다만, 이곳은 마족들이 돌아다니고 있어 위험합니다. {nl}직접 찾기보단 제 제자들의 수색 상황을 알아봐주셨으면 합니다.				메켄
QUEST_LV_0400_20161005_000034	{nl}Woognis is at the Vilkas Nest, Jenonhas is at Kainen Crossing.	{nl}우그니스는 빌카스의 서식지에서, 제노나스는 카이넨 나루터에 있습니다.				메켄
QUEST_LV_0400_20161005_000035	Whoa, you scared me! Who are you?	으앗 깜짝이야, 누구십니까?				우그니스
QUEST_LV_0400_20161005_000036	{nl}The current situation?{nl}I haven't even gone anywhere near the area since I'm too afraid.	{nl}수색 상황이요?{nl}저는 지금 수색은 커녕 근처에 가는 것조차 무섭다구요.				우그니스
